bore_id,reg_id,state_id,lat,lon,my_depth_m,count,mean,std,min,25%,50%,75%,max,cv
34072,34072A,3,-24.3626493,150.5989212,12.0,15.0,308.6666666666667,95.75763055508324,85.0,285.0,340.0,370.0,405.0,0.31022990460610117
34072,34072A,3,-24.3626493,150.5989212,13.7,24.0,293.875,178.99703968890464,73.0,124.5,260.0,404.25,710.0,0.6090924362021425
34109,34109A,3,-24.534827,150.6666387,14.0,31.0,165.74193548387098,23.75144590957988,123.0,141.5,170.0,181.0,220.0,0.14330378030303156
34119,34119A,3,-23.9831674,150.3365453,10.6,11.0,256.27272727272725,72.02095654612053,132.0,205.0,280.0,317.5,330.0,0.28103246612533733
34124,34124A,3,-23.8488173,150.2688883,15.1,13.0,175.6153846153846,79.56500325890613,78.0,125.0,145.0,260.0,305.0,0.45306396949880845
34133,34133A,3,-24.3294924,150.4460457,12.2,12.0,781.4166666666666,164.04736474197895,561.0,600.0,853.5,913.75,990.0,0.2099358405570809
34146,34146A,3,-23.9466667,150.2208333,14.65,29.0,1196.0,174.99530605949732,580.0,1200.0,1200.0,1250.0,1527.0,0.14631714553469677
34177,34177A,3,-24.3559042,150.4333044,17.0,21.0,1912.7619047619048,171.1011118496618,1465.0,1850.0,1950.0,2050.0,2150.0,0.08945238370949257
34222,34222A,3,-23.9016821,150.1861262,19.81,13.0,3733.846153846154,514.028832873839,2700.0,3550.0,3800.0,4050.0,4540.0,0.13766738416481059
34233,34233A,3,-23.9199375,150.2274617,15.2,21.0,1100.047619047619,347.0686497208407,380.0,830.0,1200.0,1250.0,1600.0,0.3155032961403253
34251,34251A,3,-23.8800858,150.2208697,12.8,24.0,479.0,66.40455720348795,363.0,443.0,477.5,510.0,670.0,0.13863164343108134
34285,34285A,3,-24.372045,150.5133861,16.05,15.0,138.13333333333333,17.99153239986072,110.0,127.5,135.0,145.0,180.0,0.13024758011482182
34293,34293A,3,-23.9405153,150.2062068,7.62,17.0,1697.6470588235295,54.747078890647884,1605.0,1650.0,1700.0,1730.0,1800.0,0.032248799069335206
34294,34294A,3,-23.9295158,150.2085871,10.66,25.0,1107.52,228.92304383788016,460.0,1022.0,1150.0,1250.0,1430.0,0.20669878994318852
34351,34351A,3,-24.544394,150.5759611,17.05,28.0,227.92857142857144,54.702514378820645,83.0,205.75,223.5,257.25,337.0,0.23999849617784047
34382,34382A,3,-24.2224442,150.4087151,14.8,11.0,250.9090909090909,53.89889524926192,177.0,213.0,234.0,273.5,351.0,0.21481443758763807
34411,34411A,3,-23.9153504,150.2237499,16.2,29.0,881.9655172413793,97.40177570932704,530.0,850.0,890.0,940.0,1050.0,0.11043716994059054
